Prov,Mun,Brgy,Area,Lat,Long,Occurance,Elev,Slope,Aspect,HorizontalCurvature,VerticalCurvature,Lithology,SoilType,PGAComp,Landslide
Cotabato,Makilala,Buhay,8483.2,6.97534,125.163,29/31,721,25.75185013,West,-0.029247329,0.032404359,Dacitic and/or andesitic plugs,Undifferentiated,0.21398823,1
Cotabato,Makilala,Buena Vida,24338.7,6.97468,125.173,29/31,812,24.57655334,Northwest,1.219476461,0.011462255,Dacitic and/or andesitic plugs,Undifferentiated,0.207477942,1
Cotabato,Makilala,Batasan,28324.4,6.97387,125.18,29/31,902,24.8287735,South,0.015018499,-0.003578628,Dacitic and/or andesitic plugs,Undifferentiated,0.209751502,1
Cotabato,Makilala,Batasan,2284.2,6.9721,125.178,29/31,815,11.08325768,West,0.018765977,0.000270961,Dacitic and/or andesitic plugs,Undifferentiated,0.207359791,1
Cotabato,Makilala,Batasan,4016.79,6.97694,125.178,29/31,987,21.97233009,West,0.014564554,0.01258878,Dacitic and/or andesitic plugs,Undifferentiated,0.209751502,1
Cotabato,Makilala,Batasan,14114.5,6.97151,125.176,29/31,800,19.3275795,Southeast,0.005458457,0.010468029,Dacitic and/or andesitic plugs,Undifferentiated,0.207268715,1
Cotabato,Makilala,Batasan,272834,6.9701,125.185,29/31,871,17.64787674,Southwest,0.008992916,-0.000388207,Dacitic and/or andesitic plugs,Undifferentiated,0.205349445,1
Cotabato,Makilala,Batasan,7583.8,6.9752,125.183,29/31,1035,30.24737549,South,-0.012420355,-0.002954692,Dacitic and/or andesitic plugs,Undifferentiated,0.207801223,1
Cotabato,Makilala,Batasan,13799.1,6.97492,125.188,29/31,1105,41.97073364,South,-0.072252654,-0.010473278,Dacitic and/or andesitic plugs,Undifferentiated,0.20561783,1
Cotabato,Makilala,Batasan,23956,6.97448,125.186,29/31,1048,22.58070564,Northeast,-0.006853374,-0.002575886,Dacitic and/or andesitic plugs,Undifferentiated,0.207801223,1
Cotabato,Magpet,Pangao-an,36539.1,7.10192,125.164,29/31,476,14.34436226,Northeast,-0.002782634,-0.003625661,Dacitic and/or andesitic plugs,Undifferentiated,0.278599173,1
Cotabato,Magpet,Sallab,52023.7,7.10727,125.178,29/31,547,17.74477768,Northwest,0.222121567,-0.001593227,Dacitic and/or andesitic plugs,Undifferentiated,0.266911298,1
Cotabato,Magpet,Don Panaca,3523.84,7.12212,125.233,29/31,925,23.01677322,Northwest,-0.007843001,0.016694346,Dacitic and/or andesitic plugs,Undifferentiated,0.168001682,1
Cotabato,Makilala,Batasan,4618.09,6.9794,125.193,29/31,1326,10.24940491,North,-0.017780298,-0.000768672,Dacitic and/or andesitic plugs,Undifferentiated,0.205661997,1
